serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_30,hook_hold_rate_40,hold_rate_20,frequency,reach,results,result_rate,cpr,cpc,ctr,3_sec_video,25_play,50_play,75_play,100_play
1790,ad_id_1728,ad_set_106,1.07,0.0,50.0,16.13,8.06,1.03,60,0,0.0,0.0,0.0,0.0,31,15,7,3,0
1791,ad_id_590,ad_set_073,2.04,0.0,53.16,40.48,21.52,1.0,79,0,0.0,0.0,0.51,5.06,42,27,17,12,8
1792,ad_id_1639,ad_set_031,6.5,0.0,47.34,21.89,10.36,1.05,340,0,0.0,0.0,0.72,2.52,169,94,38,20,15
1793,ad_id_904,ad_set_023,10.82,0.0,50.33,22.77,11.46,1.02,589,0,0.0,0.0,0.98,1.83,303,167,75,48,31
1794,ad_id_209,ad_set_054,15.22,0.0,48.57,24.45,11.88,1.0,838,0,0.0,0.0,0.59,3.09,409,238,104,59,33
1795,ad_id_991,ad_set_001,20.75,0.0,51.64,25.75,13.29,1.05,993,1,9.63,20.75,0.63,3.18,536,249,124,78,46
1796,ad_id_418,ad_set_018,5.38,0.0,50.0,28.68,14.34,1.05,246,0,0.0,0.0,0.77,2.71,129,75,39,20,16
1797,ad_id_119,ad_set_061,5.56,0.0,52.0,27.97,14.55,1.01,272,0,0.0,0.0,1.39,1.45,143,69,39,21,12
1798,ad_id_1557,ad_set_010,0.05,0.0,0.0,0.0,0.0,1.0,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0
1799,ad_id_1787,ad_set_114,0.01,0.0,0.0,0.0,0.0,1.0,3,0,0.0,0.0,0.0,0.0,0,0,0,0,0
1800,ad_id_1760,ad_set_023,9.74,0.0,35.8,30.16,10.8,1.03,341,0,0.0,0.0,4.87,0.57,126,62,34,15,4
